,Date,Author,Title,Publication Title,PMID,DOI,PMCID,Link Attachments
364,2021 Sep 16,"Bazaga A, Gunwant N, Micklem G",Translating synthetic natural language to database queries with a polyglot deep learning framework,Scientific Reports,34531510,10.1038/s41598-021-98019-3,PMC8445976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8445976
365,2021 Sep 1,"Huang X, Zhang J, Xu Z, Ou L, Tong J",A knowledge graph based question answering method for medical domain,PeerJ Computer Science,34604514,10.7717/peerj-cs.667,PMC8444078,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8444078
366,2021 Aug 24,"Yang B, Yang M",Research on enterprise knowledge service based on semantic reasoning and data fusion,Neural Computing & Applications,34456516,10.1007/s00521-021-06382-z,PMC8384230,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8384230
367,2021 Aug 20,"Baltoumas FA, Zafeiropoulou S, Karatzas E, Koutrouli M, Thanati F, Voutsadaki K, Gkonta M, Hotova J, Kasionis I, Hatzis P, Pavlopoulos GA",Biomolecule and Bioentity Interaction Databases in Systems Biology: A Comprehensive Review,Biomolecules,34439912,10.3390/biom11081245,PMC8391349,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8391349
368,2021 Aug 19,"Khashan E, Eldesouky A, Elghamrawy S",An adaptive spark-based framework for querying large-scale NoSQL and relational databases,PLoS ONE,34411131,10.1371/journal.pone.0255562,PMC8376024,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376024
369,2021 Aug 12,"Rubio-Sandoval JI, Martinez-Rodriguez JL, Lopez-Arevalo I, Rios-Alvarado AB, Rodriguez-Rodriguez AJ, Vargas-Requena DT",An Indoor Navigation Methodology for Mobile Devices by Integrating Augmented Reality and Semantic Web,"Sensors (Basel, Switzerland)",34450877,10.3390/s21165435,PMC8401022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8401022
370,2021 Aug 5,"Budde K, Smith J, Wilsdorf P, Haack F, Uhrmacher AM",Relating simulation studies by provenance—Developing a family of Wnt signaling models,PLoS Computational Biology,34351901,10.1371/journal.pcbi.1009227,PMC8407594,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8407594
371,2021 Aug 3,"Pawlicka A, Pawlicki M, Kozik R, Choraś RS",A Systematic Review of Recommender Systems and Their Applications in Cybersecurity,"Sensors (Basel, Switzerland)",34372489,10.3390/s21155248,PMC8347790,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8347790
372,2021 Aug 3,"Serrano Nájera G, Narganes Carlón D, Crowther DJ","TrendyGenes, a computational pipeline for the detection of literature trends in academia and drug discovery",Scientific Reports,34344904,10.1038/s41598-021-94897-9,PMC8333311,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8333311
373,2021 Jul 29,"Yang X, Wu C, Nenadic G, Wang W, Lu K",Mining a stroke knowledge graph from literature,BMC Bioinformatics,34325669,10.1186/s12859-021-04292-4,PMC8319697,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8319697
374,2021 Jul 22,"Fang A, Lou P, Hu J, Zhao W, Feng M, Ren H, Chen X",Head and Tail Entity Fusion Model in Medical Knowledge Graph Construction: Case Study for Pituitary Adenoma,JMIR Medical Informatics,34057414,10.2196/28218,PMC8367125,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8367125
375,2021 Jul 20,"Fecho K, Bizon C, Miller F, Schurman S, Schmitt C, Xue W, Morton K, Wang P, Tropsha A",A Biomedical Knowledge Graph System to Propose Mechanistic Hypotheses for Real-World Environmental Health Observations: Cohort Study and Informatics Application,JMIR Medical Informatics,34283031,10.2196/26714,PMC8335603,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8335603
376,2021 Jul 19,"Wang H, Robinson JL, Kocabas P, Gustafsson J, Anton M, Cholley PE, Huang S, Gobom J, Svensson T, Uhlen M, Zetterberg H, Nielsen J",Genome-scale metabolic network reconstruction of model animals as a platform for translational research,Proceedings of the National Academy of Sciences of the United States of America,34282017,10.1073/pnas.2102344118,PMC8325244,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8325244
377,2021 Jul 12,,News,Datenbank-Spektrum,34276274,10.1007/s13222-021-00383-x,PMC8274660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8274660
378,2021 Jul 2,"Muratov EN, Amaro R, Andrade CH, Brown N, Ekins S, Fourches D, Isayev O, Kozakov D, Medina-Franco JL, Merz KM, Oprea TI, Poroikov V, Schneider G, Todd MH, Varnek A, Winkler DA, Zakharov AV, Cherkasov A, Tropsha A",A critical overview of computational approaches employed for COVID-19 drug discovery,Chemical Society Reviews,34212944,10.1039/d0cs01065k,PMC8371861,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8371861
379,2021 Jun 29,"Barbagallo C, Di Maria A, Alecci A, Barbagallo D, Alaimo S, Colarossi L, Ferro A, Di Pietro C, Purrello M, Pulvirenti A, Ragusa M",VECTOR: An Integrated Correlation Network Database for the Identification of CeRNA Axes in Uveal Melanoma,Genes,34210067,10.3390/genes12071004,PMC8305227,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8305227
380,2021 Jun 24,"Osanlouy M, Bandrowski A, de Bono B, Brooks D, Cassarà AM, Christie R, Ebrahimi N, Gillespie T, Grethe JS, Guercio LA, Heal M, Lin M, Kuster N, Martone ME, Neufeld E, Nickerson DP, Soltani EG, Tappan S, Wagenaar JB, Zhuang K, Hunter PJ",The SPARC DRC: Building a Resource for the Autonomic Nervous System Community,Frontiers in Physiology,34248680,10.3389/fphys.2021.693735,PMC8265045,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8265045
381,2021 Jun 22,"Ghazal R, Malik AK, Raza B, Qadeer N, Qamar N, Bhatia S",Agent-Based Semantic Role Mining for Intelligent Access Control in Multi-Domain Collaborative Applications of Smart Cities,"Sensors (Basel, Switzerland)",34206164,10.3390/s21134253,PMC8272182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8272182
382,2021 Jun 21,"Wagner J, Kancherla J, Braccia D, Matsumara J, Felix V, Crabtree J, Mahurkar A, Corrada Bravo H",Interactive exploratory data analysis of Integrative Human Microbiome Project data using Metaviz,F1000Research,32742640,10.12688/f1000research.24345.1,PMC7366035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7366035
383,2021 Jun 15,"Flynn NR, Ward MD, Schleiff MA, Laurin CM, Farmer R, Conway SJ, Boysen G, Swamidass SJ, Miller GP",Bioactivation of Isoxazole-Containing Bromodomain and Extra-Terminal Domain (BET) Inhibitors,Metabolites,34203690,10.3390/metabo11060390,PMC8232216,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8232216
384,2021 Jun 7,"Salvi D, Poffley E, Tarassenko L, Orchard E",App-Based Versus Standard Six-Minute Walk Test in Pulmonary Hypertension: Mixed Methods Study,JMIR mHealth and uHealth,34096876,10.2196/22748,PMC8218218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8218218
385,2021 May 28,"Silva de Oliveira M, Thyeska Castro Alves J, Henrique Caracciolo Gomes de Sá P, Veras AA",PAN2HGENE–tool for comparative analysis and identifying new gene products,PLoS ONE,34048479,10.1371/journal.pone.0252414,PMC8162609,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8162609
386,2021 May 27,"Morgiève M, Mesdjian P, Las Vergnas O, Bury P, Demassiet V, Roelandt JL, Sebbane D",Social Representations of e-Mental Health Among the Actors of the Health Care System: Free-Association Study,JMIR Mental Health,34042591,10.2196/25708,PMC8193480,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8193480
387,2021 May 26,"McCoy K, Gudapati S, He L, Horlander E, Kartchner D, Kulkarni S, Mehra N, Prakash J, Thenot H, Vanga SV, Wagner A, White B, Mitchell CS",Biomedical Text Link Prediction for Drug Discovery: A Case Study with COVID-19,Pharmaceutics,34073456,10.3390/pharmaceutics13060794,PMC8230210,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8230210
388,2021 May 25,"Kanakaris N, Giarelis N, Siachos I, Karacapilidis N",Shall I Work with Them? A Knowledge Graph-Based Approach for Predicting Future Research Collaborations,Entropy,34070422,10.3390/e23060664,PMC8226892,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8226892
389,2021 May 25,"Huckstep H, Fearnley LG, Davis MJ",Measuring pathway database coverage of the phosphoproteome,PeerJ,34113485,10.7717/peerj.11298,PMC8162239,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8162239
390,2021 May 21,Kerrache S,LinkPred: a high performance library for link prediction in complex networks,PeerJ Computer Science,34084927,10.7717/peerj-cs.521,PMC8157017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8157017
391,2021 Apr 22,"Jung H, Phoa FK",A Mixture Model of Truncated Zeta Distributions with Applications to Scientific Collaboration Networks ,Entropy,33922279,10.3390/e23050502,PMC8146345,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146345
392,2021 Apr 17,"Fadlelmola FM, Ghedira K, Hamdi Y, Hanachi M, Radouani F, Allali I, Kiran A, Zass L, Alsayed N, Fassatoui M, Samtal C, Ahmed S, Da Rocha J, Chaqsare S, Sallam RM, Chaouch M, Farahat MA, Ssekagiri A, Parker Z, Adil M, Turkson M, Benchaalia A, Benkahla A, Panji S, Kassim S, Souiai O, Mulder N",H3ABioNet genomic medicine and microbiome data portals hackathon proceedings,Database: The Journal of Biological Databases and Curation,33864455,10.1093/database/baab016,PMC8052916,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8052916
393,2021 Apr 14,"Chatterjee A, Nardi C, Oberije C, Lambin P",Knowledge Graphs for COVID-19: An Exploratory Review of the Current Landscape,Journal of Personalized Medicine,33919882,10.3390/jpm11040300,PMC8070774,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8070774
394,2021 Apr 9,"Coimbra ME, Francisco AP, Veiga L",An analysis of the graph processing landscape,Journal of Big Data,33850687,10.1186/s40537-021-00443-9,PMC8033100,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8033100
395,2021 Apr 8,"Mazein A, Rougny A, Karr JR, Saez-Rodriguez J, Ostaszewski M, Schneider R",Reusability and composability in process description maps: RAS–RAF–MEK–ERK signalling,Briefings in Bioinformatics,33834185,10.1093/bib/bbab103,PMC8425390,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8425390
396,2021 Apr 5,"Hassani‐Pak K, Singh A, Brandizi M, Hearnshaw J, Parsons JD, Amberkar S, Phillips AL, Doonan JH, Rawlings C",KnetMiner: a comprehensive approach for supporting evidence‐based gene discovery and complex trait analysis across species,Plant Biotechnology Journal,33750020,10.1111/pbi.13583,PMC8384599,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8384599
397,2021 Apr 3,"Villalba-Diez J, Losada JC, Benito RM, Schmidt D",Industry 4.0 Quantum Strategic Organizational Design Configurations. The Case of 3 Qubits: Two Report to One,Entropy,33916662,10.3390/e23040426,PMC8065959,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065959
398,2021 Mar 24,"Rougny A, Touré V, Albanese J, Waltemath D, Shirshov D, Sorokin A, Bader GD, Blinov ML, Mazein A",SBGN Bricks Ontology as a tool to describe recurring concepts in molecular networks,Briefings in Bioinformatics,33758926,10.1093/bib/bbab049,PMC8425392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8425392
399,2021 Mar 24,"Grigoriu A, Zaveri A, Weiss G, Dumontier M",SIENA: Semi-automatic semantic enhancement of datasets using concept recognition,Journal of Biomedical Semantics,33761996,10.1186/s13326-021-00239-z,PMC7992819,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7992819
400,2021 Mar 23,"Hannestad LM, Dančík V, Godden M, Suen IW, Huellas-Bruskiewicz KC, Good BM, Mungall CJ, Bruskiewich RM",Knowledge Beacons: Web services for data harvesting of distributed biomedical knowledge,PLoS ONE,33755673,10.1371/journal.pone.0231916,PMC7987184,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987184
401,2021 Mar 20,"Villalba-Diez J, Losada JC, Benito RM, González-Marcos A",Industry 4.0 Quantum Strategic Organizational Design Configurations. The Case of 3 Qubits: One Reports to Two,Entropy,33804746,10.3390/e23030374,PMC8003965,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003965
402,2021 Mar 1,"Yokoyama TT, Okada M, Taniguchi T",Panacea: Visual exploration system for analyzing trends in annual recruitment using time-varying graphs,PLoS ONE,33647012,10.1371/journal.pone.0247587,PMC7920367,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7920367
403,2021 Feb 27,"Huang Z, Hu Q, Liao M, Miao C, Wang C, Liu G",Knowledge Graphs of Kawasaki Disease,Health Information Science and Systems,33680447,10.1007/s13755-020-00130-8,PMC7910781,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7910781
404,2021 Feb 24,"Zhang B, Tang C, Yao Y, Chen X, Zhou C, Wei Z, Xing F, Chen L, Cai X, Zhang Z, Sun S, Liu Q",The tumor therapy landscape of synthetic lethality,Nature Communications,33627666,10.1038/s41467-021-21544-2,PMC7904840,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7904840
405,2021 Feb 23,"Yamada I, Campbell MP, Edwards N, Castro LJ, Lisacek F, Mariethoz J, Ono T, Ranzinger R, Shinmachi D, Aoki-Kinoshita KF",The glycoconjugate ontology (GlycoCoO) for standardizing the annotation of glycoconjugate data and its application,Glycobiology,33677548,10.1093/glycob/cwab013,PMC8351504,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8351504
406,2021 Feb 22,"Lazar AA, Liu T, Turkcan MK, Zhou Y",Accelerating with FlyBrainLab the discovery of the functional logic of the Drosophila brain in the connectomic and synaptomic era,eLife,33616035,10.7554/eLife.62362,PMC8016480,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8016480
407,2021 Feb 15,"Villanustre F, Chala A, Dev R, Xu L, LexisNexis JS, Furht B, Khoshgoftaar T",Modeling and tracking Covid-19 cases using Big Data analytics on HPCC system platform,Journal of Big Data,33614394,10.1186/s40537-021-00423-z,PMC7883950,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7883950
408,2021 Feb 11,"Pavel A, del Giudice G, Federico A, Di Lieto A, Kinaret PA, Serra A, Greco D",Integrated network analysis reveals new genes suggesting COVID-19 chronic effects and treatment,Briefings in Bioinformatics,33569598,10.1093/bib/bbaa417,PMC7929418,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7929418
409,2021 Feb 11,"McLuskey K, Wandy J, Vincent I, van der Hooft JJ, Rogers S, Burgess K, Daly R",Ranking Metabolite Sets by Their Activity Levels,Metabolites,33670102,10.3390/metabo11020103,PMC7916825,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7916825
410,2021 Feb 8,"Zhang R, Hristovski D, Schutte D, Kastrin A, Fiszman M, Kilicoglu H",Drug repurposing for COVID-19 via knowledge graph completion,Journal of Biomedical Informatics,33571675,10.1016/j.jbi.2021.103696,PMC7869625,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7869625
411,2021 Feb 4,"Zhang F, Sun B, Diao X, Zhao W, Shu T",Prediction of adverse drug reactions based on knowledge graph embedding,BMC Medical Informatics and Decision Making,33541342,10.1186/s12911-021-01402-3,PMC7863488,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7863488
412,2021 Jan 18,"Masuya H, Usuda D, Nakata H, Yuhara N, Kurihara K, Namiki Y, Iwase S, Takada T, Tanaka N, Suzuki K, Yamagata Y, Kobayashi N, Yoshiki A, Kushida T",Establishment and application of information resource of mutant mice in RIKEN BioResource Research Center,Laboratory Animal Research,33455583,10.1186/s42826-020-00068-8,PMC7811887,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7811887
413,2021 Jan 14,"Klees S, Lange TM, Bertram H, Rajavel A, Schlüter JS, Lu K, Schmitt AO, Gültas M","In Silico Identification of the Complex Interplay between Regulatory SNPs, Transcription Factors, and Their Related Genes in Brassica napus L. Using Multi-Omics Data",International Journal of Molecular Sciences,33466789,10.3390/ijms22020789,PMC7830561,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7830561
414,2020 Dec 18,"Ruschil C, Gabernet G, Lepennetier G, Heumos S, Kaminski M, Hracsko Z, Irmler M, Beckers J, Ziemann U, Nahnsen S, Owens GP, Bennett JL, Hemmer B, Kowarik MC",Specific Induction of Double Negative B Cells During Protective and Pathogenic Immune Responses,Frontiers in Immunology,33391273,10.3389/fimmu.2020.606338,PMC7775384,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7775384
415,2020 Dec 14,"Li F, Lindsey JW, Marin EC, Otto N, Dreher M, Dempsey G, Stark I, Bates AS, Pleijzier MW, Schlegel P, Nern A, Takemura SY, Eckstein N, Yang T, Francis A, Braun A, Parekh R, Costa M, Scheffer LK, Aso Y, Jefferis GS, Abbott LF, Litwin-Kumar A, Waddell S, Rubin GM",The connectome of the adult Drosophila mushroom body provides insights into function,eLife,33315010,10.7554/eLife.62576,PMC7909955,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7909955
416,2020 Dec 9,"XIANG Y, FUJIMOTO K, LI F, WANG Q, DEL VECCHIO N, SCHNEIDER J, ZHI D, TAO C",Identifying influential neighbors in social networks and venue affiliations among young MSM: A data science approach to predict HIV infection,"AIDS (London, England)",33306549,10.1097/QAD.0000000000002784,PMC8058230,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8058230
417,2020 Dec 7,"Dolezel D, McLeod A",Big-Data Skills: Bridging the Data Science Theory-Practice Gap in Healthcare,Perspectives in Health Information Management,33633520,both_none_477,PMC7883353,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7883353
418,2020 Dec 7,"Jeong S, Kim S, Kim J",City Data Hub: Implementation of Standard-Based Smart City Data Platform for Interoperability,"Sensors (Basel, Switzerland)",33297506,10.3390/s20237000,PMC7731156,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7731156
419,2020 Dec 6,"Villalba-Diez J, Benito RM, Losada JC",Industry 4.0 Quantum Strategic Organizational Design Configurations. The Case of Two Qubits: One Reports to One,"Sensors (Basel, Switzerland)",33291340,10.3390/s20236977,PMC7730965,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7730965
420,2020 Dec 6,"Domingo-Fernández D, Baksi S, Schultz B, Gadiya Y, Karki R, Raschka T, Ebeling C, Hofmann-Apitius M, Kodamullil AT","COVID-19 Knowledge Graph: a computable, multi-modal, cause-and-effect knowledge model of COVID-19 pathophysiology",Bioinformatics,32976572,10.1093/bioinformatics/btaa834,PMC7558629,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7558629
421,2020 Nov 25,"Luo L, Feng J, Yu H, Wang J",Automatic Structuring of Ontology Terms Based on Lexical Granularity and Machine Learning: Algorithm Development and Validation,JMIR Medical Informatics,33127601,10.2196/22333,PMC7725650,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7725650
422,2020 Nov 24,"Thessen AE, Walls RL, Vogt L, Singer J, Warren R, Buttigieg PL, Balhoff JP, Mungall CJ, McGuinness DL, Stucky BJ, Yoder MJ, Haendel MA",Transforming the study of organisms: Phenomic data models and knowledge bases,PLoS Computational Biology,33232313,10.1371/journal.pcbi.1008376,PMC7685442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7685442
423,2020 Nov 23,"Hammad R, Barhoush M, Abed-alguni BH",A Semantic-Based Approach for Managing Healthcare Big Data: A Survey,Journal of Healthcare Engineering,33489061,10.1155/2020/8865808,PMC7787845,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787845
424,2020 Nov 11,"Korn D, Bobrowski T, Li M, Kebede Y, Wang P, Owen P, Vaidya G, Muratov E, Chirkova R, Bizon C, Tropsha A",COVID-KOP: integrating emerging COVID-19 data with the ROBOKOP database,Bioinformatics,33175089,10.1093/bioinformatics/btaa718,PMC7890668,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890668
425,2020 Nov 9,"Reese JT, Unni D, Callahan TJ, Cappelletti L, Ravanmehr V, Carbon S, Shefchek KA, Good BM, Balhoff JP, Fontana T, Blau H, Matentzoglu N, Harris NL, Munoz-Torres MC, Haendel MA, Robinson PN, Joachimiak MP, Mungall CJ",KG-COVID-19: A Framework to Produce Customized Knowledge Graphs for COVID-19 Response,Patterns,33196056,10.1016/j.patter.2020.100155,PMC7649624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7649624
426,2020 Nov 5,"Zahoránszky-Kőhalmi G, Siramshetty VB, Kumar P, Gurumurthy M, Grillo B, Mathew B, Metaxatos D, Backus M, Mierzwa T, Simon R, Grishagin I, Brovold L, Mathé EA, Hall MD, Michael SG, Godfrey AG, Mestres J, Jensen LJ, Oprea TI",A Workflow of Integrated Resources to Catalyze Network Pharmacology Driven COVID-19 Research,bioRxiv,33173863,10.1101/2020.11.04.369041,PMC7654851,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654851
427,2020 Nov 4,"Özel MN, Simon F, Jafari S, Holguera I, Chen YC, Benhra N, El-Danaf RN, Kapuralin K, Malin JA, Konstantinides N, Desplan C",Neuronal diversity and convergence in a visual system developmental atlas,Nature,33149298,10.1038/s41586-020-2879-3,PMC7790857,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7790857
428,2020 Nov 4,"Ammar N, Shaban-Nejad A",Explainable Artificial Intelligence Recommendation System by Leveraging the Semantics of Adverse Childhood Experiences: Proof-of-Concept Prototype Development,JMIR Medical Informatics,33146623,10.2196/18752,PMC7673979,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7673979
429,2020 Nov 4,"Mishra V, Re DB, Le Verche V, Alvarez MJ, Vasciaveo A, Jacquier A, Doulias PT, Greco TM, Nizzardo M, Papadimitriou D, Nagata T, Rinchetti P, Perez-Torres EJ, Politi KA, Ikiz B, Clare K, Than ME, Corti S, Ischiropoulos H, Lotti F, Califano A, Przedborski S",Systematic elucidation of neuron-astrocyte interaction in models of amyotrophic lateral sclerosis using multi-modal integrated bioinformatics workflow,Nature Communications,33149111,10.1038/s41467-020-19177-y,PMC7642391,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7642391
430,2020 Oct 22,"Wörheide MA, Krumsiek J, Kastenmüller G, Arnold M",Multi-omics integration in biomedical research – A metabolomics-centric review,Analytica chimica acta,33248648,10.1016/j.aca.2020.10.038,PMC7701361,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7701361
431,2020 Oct 22,"Rashid SM, McCusker JP, Pinheiro P, Bax MP, Santos H, Stingone JA, Das AK, McGuinness DL",The Semantic Data Dictionary – An Approach for Describing and Annotating Data,Data intelligence,33103120,10.1162/dint_a_00058,PMC7583433,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583433
432,2020 Oct 16,"Villalba-Diez J, Zheng X",Quantum Strategic Organizational Design: Alignment in Industry 4.0 Complex-Networked Cyber-Physical Lean Management Systems,"Sensors (Basel, Switzerland)",33081193,10.3390/s20205856,PMC7594090,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594090
433,2020 Oct 12,"Chen C, Huang H, Ross KE, Cowart JE, Arighi CN, Wu CH, Natale DA",Protein ontology on the semantic web for knowledge discovery,Scientific Data,33046717,10.1038/s41597-020-00679-9,PMC7550340,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7550340
434,2020 Oct 9,"Arafeh M, Ceravolo P, Mourad A, Damiani E, Bellini E",Ontology based recommender system using social network data,Future Generations Computer Systems,33071400,10.1016/j.future.2020.09.030,PMC7546693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7546693
435,2020 Oct 7,"Xiu X, Qian Q, Wu S",Construction of a Digestive System Tumor Knowledge Graph Based on Chinese Electronic Medical Records: Development and Usability Study,JMIR Medical Informatics,33026359,10.2196/18287,PMC7578820,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7578820
436,2020 Oct 2,"Zhu Q, Nguyen DT, Alyea G, Hanson K, Sid E, Pariser A",Phenotypically Similar Rare Disease Identification from an Integrative Knowledge Graph for Data Harmonization: Preliminary Study,JMIR Medical Informatics,33006565,10.2196/18395,PMC7568218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7568218
437,2020 Sep 25,"Arnaud E, Laporte MA, Kim S, Aubert C, Leonelli S, Miro B, Cooper L, Jaiswal P, Kruseman G, Shrestha R, Buttigieg PL, Mungall CJ, Pietragalla J, Agbona A, Muliro J, Detras J, Hualla V, Rathore A, Das RR, Dieng I, Bauchet G, Menda N, Pommier C, Shaw F, Lyon D, Mwanzia L, Juarez H, Bonaiuti E, Chiputwa B, Obileye O, Auzoux S, Yeumo ED, Mueller LA, Silverstein K, Lafargue A, Antezana E, Devare M, King B",The Ontologies Community of Practice: A CGIAR Initiative for Big Data in Agrifood Systems,Patterns,33205138,10.1016/j.patter.2020.100105,PMC7660444,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7660444
438,2020 Sep 23,", , , , , , ",A Privacy-Preserving Mobile and Fog Computing Framework to Trace and Prevent COVID-19 Community Transmission,Ieee Journal of Biomedical and Health Informatics,32966223,10.1109/JBHI.2020.3026060,PMC8545169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8545169
439,2020 Sep 10,"ElDahshan KA, AlHabshy AA, Abutaleb GE",Data in the time of COVID-19: a general methodology to select and secure a NoSQL DBMS for medical data,PeerJ Computer Science,33816948,10.7717/peerj-cs.297,PMC7924412,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7924412
440,2020 Sep 7,"Scheffer LK, Xu CS, Januszewski M, Lu Z, Takemura SY, Hayworth KJ, Huang GB, Shinomiya K, Maitlin-Shepard J, Berg S, Clements J, Hubbard PM, Katz WT, Umayam L, Zhao T, Ackerman D, Blakely T, Bogovic J, Dolafi T, Kainmueller D, Kawase T, Khairy KA, Leavitt L, Li PH, Lindsey L, Neubarth N, Olbris DJ, Otsuna H, Trautman ET, Ito M, Bates AS, Goldammer J, Wolff T, Svirskas R, Schlegel P, Neace E, Knecht CJ, Alvarado CX, Bailey DA, Ballinger S, Borycz JA, Canino BS, Cheatham N, Cook M, Dreher M, Duclos O, Eubanks B, Fairbanks K, Finley S, Forknall N, Francis A, Hopkins GP, Joyce EM, Kim S, Kirk NA, Kovalyak J, Lauchie SA, Lohff A, Maldonado C, Manley EA, McLin S, Mooney C, Ndama M, Ogundeyi O, Okeoma N, Ordish C, Padilla N, Patrick CM, Paterson T, Phillips EE, Phillips EM, Rampally N, Ribeiro C, Robertson MK, Rymer JT, Ryan SM, Sammons M, Scott AK, Scott AL, Shinomiya A, Smith C, Smith K, Smith NL, Sobeski MA, Suleiman A, Swift J, Takemura S, Talebi I, Tarnogorska D, Tenshaw E, Tokhi T, Walsh JJ, Yang T, Horne JA, Li F, Parekh R, Rivlin PK, Jayaraman V, Costa M, Jefferis GS, Ito K, Saalfeld S, George R, Meinertzhagen IA, Rubin GM, Hess HF, Jain V, Plaza SM",A connectome and analysis of the adult Drosophila central brain,eLife,32880371,10.7554/eLife.57443,PMC7546738,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7546738
441,2020 Sep 2,"Fischer T, Jobst M",Capturing the Spatial Relatedness of Long-Distance Caregiving: A Mixed-Methods Approach,International Journal of Environmental Research and Public Health,32887508,10.3390/ijerph17176406,PMC7504366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504366
442,2020 Aug 28,"Dafniet B, Cerisier N, Audouze K, Taboureau O",Drug‐target‐ADR Network and Possible Implications of Structural Variants in Adverse Events,Molecular Informatics,32725965,10.1002/minf.202000116,PMC8047896,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8047896
